word,frequency,word_length,word_permutation,word_permutation_score,frequency_score,word_permutation_score_frequency_score_score
name,104150,4,24,-0.266329571822,-5.59620060893,-5.86253018076
listen,85163,6,720,-0.265486252858,-4.51243644725,-4.77792270011
own,73377,3,6,-0.266351381795,-3.83970013243,-4.10605151422
live,64221,4,24,-0.266329571822,-3.31708230632,-3.58341187814
eat,45621,3,6,-0.266351381795,-2.25540782339,-2.52175920519
master,23806,6,720,-0.265486252858,-1.01022347689,-1.27570972975
lead,12926,4,24,-0.266329571822,-0.389200983654,-0.655530555476
art,12173,3,6,-0.266351381795,-0.346220290877,-0.612571672672
smile,10113,5,120,-0.266213251965,-0.22863698793,-0.494850239895
begin,9858,5,120,-0.266213251965,-0.214081773245,-0.480295025209
arm,9664,3,6,-0.266351381795,-0.203008394229,-0.469359776024
danger,7900,6,720,-0.265486252858,-0.102320556171,-0.367806809029
code,6856,4,24,-0.266329571822,-0.0427297948719,-0.309059366694
post,6497,4,24,-0.266329571822,-0.022238335766,-0.288567907588
bread,6481,5,120,-0.266213251965,-0.0213250673936,-0.287538319358
snow,5976,4,24,-0.266329571822,0.00749996561049,-0.258829606211
medical,6000,7,5040,-0.260251859288,0.00613006305188,-0.254121796236
spread,5541,6,720,-0.265486252858,0.0323294494853,-0.233156803372
forest,5406,6,720,-0.265486252858,0.0400351513775,-0.22545110148
points,4839,6,720,-0.265486252858,0.0723990993247,-0.193087153533
artist,4819,6,720,-0.265486252858,0.0735406847902,-0.191945568068
beast,4228,5,120,-0.266213251965,0.107274535296,-0.158938716669
notes,3667,5,120,-0.266213251965,0.139296007603,-0.126917244361
reward,3233,6,720,-0.265486252858,0.164068412205,-0.101417840653
alert,3029,5,120,-0.266213251965,0.175712583953,-0.0905006680114
design,2758,6,720,-0.265486252858,0.191181067011,-0.0743051858469
diet,1995,4,24,-0.266329571822,0.23473255252,-0.0315970193017
nest,1858,4,24,-0.266329571822,0.242552412959,-0.023777158863
steam,1658,5,120,-0.266213251965,0.253968267614,-0.0122449843508
era,1459,3,6,-0.266351381795,0.265327042996,-0.00102433879928
pirates,1264,7,5040,-0.260251859288,0.276457501284,0.0162056419961
races,1110,5,120,-0.266213251965,0.285247709369,0.0190344574042
lasted,1106,6,720,-0.265486252858,0.285476026462,0.0199897736041
subtle,948,6,720,-0.265486252858,0.294494551639,0.0290082987817
plea,890,4,24,-0.266329571822,0.297805149489,0.0314755776677
verse,820,5,120,-0.266213251965,0.301800698619,0.035587446654
bats,778,4,24,-0.266329571822,0.304198028096,0.0378684562745
sway,772,4,24,-0.266329571822,0.304540503736,0.0382109319142
skate,767,5,120,-0.266213251965,0.304825900102,0.0386126481376
creative,1538,8,40320,-0.217504311804,0.260817780407,0.0433134686027
designer,1330,8,40320,-0.217504311804,0.272690269248,0.055185957444
sap,471,3,6,-0.266351381795,0.321721364992,0.0553699831969
crates,410,6,720,-0.265486252858,0.325203200662,0.0597169478038
admirer,453,7,5040,-0.260251859288,0.322748791911,0.0624969326225
arrogant,1177,8,40320,-0.217504311804,0.281423398059,0.0639190862552
apt,301,3,6,-0.266351381795,0.331424841449,0.0650734596537
petals,303,6,720,-0.265486252858,0.331310682902,0.0658244300443
timers,248,6,720,-0.265486252858,0.334450042932,0.0689637900745
lapse,205,5,120,-0.266213251965,0.336904451683,0.0706911997184
pears,188,5,120,-0.266213251965,0.337874799329,0.0716615473641
threads,292,7,5040,-0.260251859288,0.331938554908,0.0716866956198
prose,155,5,120,-0.266213251965,0.339758415347,0.0735451633822
liter,154,5,120,-0.266213251965,0.33981549462,0.0736022426555
petal,153,5,120,-0.266213251965,0.339872573893,0.0736593219288
kale,149,4,24,-0.266329571822,0.340100890987,0.0737713191648
rapids,161,6,720,-0.265486252858,0.339415939707,0.0739296868494
meanest,229,7,5040,-0.260251859288,0.335534549124,0.0752826898362
resin,124,5,120,-0.266213251965,0.341527872818,0.0753146208538
allergy,213,7,5040,-0.260251859288,0.336447817497,0.0761959582086
alerted,206,7,5040,-0.260251859288,0.33684737241,0.0765955131215
emit,87,4,24,-0.266329571822,0.34363980593,0.0773102341078
shear,88,5,120,-0.266213251965,0.343582726656,0.0773694746917
diets,78,5,120,-0.266213251965,0.344153519389,0.0779402674244
sparse,67,6,720,-0.265486252858,0.344781391395,0.0792951385373
retards,157,7,5040,-0.260251859288,0.3396442568,0.079392397512
mantel,60,6,720,-0.265486252858,0.345180946308,0.0796946934503
sate,37,4,24,-0.266329571822,0.346493769593,0.0801641977716
inks,25,4,24,-0.266329571822,0.347178720873,0.0808491490509
heros,24,5,120,-0.266213251965,0.347235800146,0.0810225481813
reduces,126,7,5040,-0.260251859288,0.341413714272,0.0811618549836
terse,17,5,120,-0.266213251965,0.347635355059,0.0814221030942
realist,115,7,5040,-0.260251859288,0.342041586278,0.0817897269896
tensor,18,6,720,-0.265486252858,0.347578275786,0.0820920229278
sprites,36,7,5040,-0.260251859288,0.346550848867,0.0862989895783
antigen,25,7,5040,-0.260251859288,0.347178720873,0.0869268615844
replays,13,7,5040,-0.260251859288,0.347863672152,0.0876118128637
recants,3,7,5040,-0.260251859288,0.348434464885,0.0881826055964
trainers,173,8,40320,-0.217504311804,0.338730988428,0.121226676624
recounts,39,8,40320,-0.217504311804,0.346379611047,0.128875299243
cratered,16,8,40320,-0.217504311804,0.347692434332,0.130188122528
calipers,7,8,40320,-0.217504311804,0.348206147792,0.130701835987
parroted,3,8,40320,-0.217504311804,0.348434464885,0.130930153081
confident,1620,9,362880,0.17333040805,0.256137279998,0.429467688049
casserole,185,9,362880,0.17333040805,0.338046037149,0.511376445199
auctioned,96,9,362880,0.17333040805,0.34312609247,0.516456500521
emigrants,63,9,362880,0.17333040805,0.345009708488,0.518340116539
percussion,127,10,3628800,4.13053194658,0.341356634999,4.47188858158
introduces,97,10,3628800,4.13053194658,0.343069013197,4.47360095978
omnipotent,90,10,3628800,4.13053194658,0.34346856811,4.47400051469
deductions,81,10,3628800,4.13053194658,0.343982281569,4.47451422815
harmonicas,13,10,3628800,4.13053194658,0.347863672152,4.47839561873
